layer,x,y,voltage
M4,62.500,317.500,0.9500000000000004
M4,62.500,327.700,0.9500000000000001
M4,62.500,337.900,0.9500000000000003
M4,62.500,348.100,0.9500000000000004
M4,62.500,358.300,0.9500000000000006
M4,62.500,368.500,0.9500000000000003
M4,62.500,378.700,0.9500000000000006
M4,72.700,1.300,0.9500000000000003
M4,72.700,11.500,0.95
M4,72.700,21.700,0.9500000000000001
M4,72.700,31.900,0.9500000000000001
M4,72.700,42.100,0.9500000000000001
M4,72.700,52.300,0.9500000000000001
M4,72.700,62.500,0.9499999999999997
M4,72.700,72.700,0.95
M4,72.700,82.900,0.9499999999999995
M4,72.700,93.100,0.9499999999999997
M4,72.700,103.300,0.9500000000000001
M4,72.700,113.500,0.9500000000000001
M4,72.700,123.700,0.9499999999999995
M4,72.700,133.900,0.95
M4,72.700,144.100,0.9500000000000001
M4,72.700,154.300,0.95
M4,72.700,164.500,0.9499999999999995
M4,72.700,174.700,0.95
M4,72.700,184.900,0.95
M4,72.700,195.100,0.95
M4,72.700,205.300,0.95
M4,72.700,215.500,0.95
M4,72.700,225.700,0.9499999999999994
M4,72.700,235.900,0.9500000000000001
M4,72.700,246.100,0.95
M4,72.700,256.300,0.9499999999999997
M4,72.700,266.500,0.9500000000000003
M4,72.700,276.700,0.95
M4,72.700,286.900,0.9500000000000001
M4,72.700,297.100,0.9500000000000001
M4,72.700,307.300,0.9500000000000003
M4,72.700,317.500,0.95
M4,72.700,327.700,0.9500000000000001
M4,72.700,337.900,0.9500000000000003
M4,72.700,348.100,0.9500000000000001
M4,72.700,358.300,0.9500000000000003
M4,72.700,368.500,0.95
M4,72.700,378.700,0.9500000000000003
M4,82.900,1.300,0.9499999999999996
M4,82.900,11.500,0.95
M4,82.900,21.700,0.95
M4,82.900,31.900,0.9499999999999996
M4,82.900,42.100,0.95
M4,82.900,52.300,0.9500000000000002
M4,82.900,62.500,0.9500000000000002
M4,82.900,72.700,0.9500000000000002
M4,82.900,82.900,0.95
M4,82.900,93.100,0.95
M4,82.900,103.300,0.95
M4,82.900,113.500,0.9499999999999998
M4,82.900,123.700,0.95
M4,82.900,133.900,0.9499999999999998
M4,82.900,144.100,0.9500000000000004
M4,82.900,154.300,0.9500000000000004
M4,82.900,164.500,0.9500000000000002
M4,82.900,174.700,0.9499999999999998
M4,82.900,184.900,0.9500000000000002
M4,82.900,195.100,0.9500000000000002
M4,82.900,205.300,0.95
M4,82.900,215.500,0.95
M4,82.900,225.700,0.9500000000000002
M4,82.900,235.900,0.9500000000000002
M4,82.900,246.100,0.95
