Instance_name	Avg_power	Pin_x	Pin_y	VDD_drop	Net_name
i_tv80_core_i_reg_RegsL_reg_5__4_	3.37087e-05	3.527	35.7	0.878712	VDD
i_tv80_core_i_reg_RegsL_reg_4__4_	3.58525e-05	5.895	34.5	0.878684	VDD
i_tv80_core_PC_reg_11_	5.35973e-05	49.851	11.7	0.879036	VDD
i_tv80_core_i_reg_RegsL_reg_7__5_	3.9145e-05	20.695	32.1	0.878381	VDD
i_tv80_core_NMI_s_reg	3.92517e-05	22.175	27.3	0.878049	VDD
i_tv80_core_No_BTR_reg	4.00539e-05	24.321	22.5	0.878002	VDD
i_tv80_core_PreserveC_r_reg	4.0936e-05	27.651	21.3	0.878014	VDD
i_tv80_core_IStatus_reg_0_	3.14889e-05	27.207	6.9	0.878269	VDD
i_tv80_core_Halt_FF_reg	3.8862e-05	24.395	20.1	0.877612	VDD
i_tv80_core_Alternate_reg	6.15141e-05	25.727	9.3	0.878087	VDD
i_tv80_core_RegBusA_r_reg_9_	2.56785e-05	25.135	44.1	0.878685	VDD
i_tv80_core_RegBusA_r_reg_3_	2.53084e-05	19.955	29.7	0.877608	VDD
i_tv80_core_RegBusA_r_reg_15_	2.64533e-05	25.135	45.3	0.878617	VDD
i_tv80_core_RegBusA_r_reg_13_	2.24163e-05	25.209	44.1	0.878685	VDD
i_tv80_core_RegAddrA_r_reg_0_	4.29561e-05	18.512	26.1	0.878482	VDD
i_tv80_core_RegAddrB_r_reg_0_	3.66861e-05	18.808	27.3	0.877707	VDD
i_tv80_core_XY_Ind_reg	2.62969e-05	22.323	8.1	0.878171	VDD
i_tv80_core_Arith16_r_reg	5.05599e-05	29.131	21.3	0.87795	VDD
i_tv80_core_R_reg_7_	3.22896e-05	42.525	23.7	0.87852	VDD
wr_n_reg_U3	1.10419e-05	24.173	15.3	0.878327	VDD
wr_n_reg	3.00047e-05	28.909	14.1	0.878626	VDD
i_tv80_core_RegBusA_r_reg_8_	2.53508e-05	30.833	39.3	0.878272	VDD
i_tv80_core_BTR_r_reg	4.21039e-05	26.393	10.5	0.878112	VDD
i_tv80_core_RegBusA_r_reg_10_	2.62535e-05	30.537	41.7	0.878383	VDD
i_tv80_core_Read_To_Reg_r_reg_0_	5.15684e-05	29.427	26.1	0.878501	VDD
i_tv80_core_R_reg_6_	4.49859e-05	48.075	21.3	0.878735	VDD
i_tv80_core_R_reg_5_	4.5076e-05	48.593	20.1	0.878788	VDD
i_tv80_core_R_reg_4_	4.20909e-05	50.073	20.1	0.878917	VDD
i_tv80_core_R_reg_3_	4.77663e-05	48.815	17.7	0.878687	VDD
i_tv80_core_R_reg_2_	3.69319e-05	48.741	18.9	0.878798	VDD
i_tv80_core_R_reg_1_	4.17204e-05	46.521	21.3	0.878679	VDD
i_tv80_core_R_reg_0_	4.53034e-05	42.969	21.3	0.878294	VDD
i_tv80_core_BusAck_reg	6.38086e-05	29.131	23.7	0.87772	VDD
rd_n_reg	3.21348e-05	28.761	14.1	0.878626	VDD
i_tv80_core_TmpAddr_reg_12_	3.37282e-05	44.597	12.9	0.878956	VDD
i_tv80_core_i_reg_RegsL_reg_6__6_	3.82496e-05	16.551	35.7	0.878428	VDD
i_tv80_core_i_reg_RegsL_reg_4__6_	3.99982e-05	14.627	35.7	0.878374	VDD
i_tv80_core_i_reg_RegsL_reg_2__6_	3.21179e-05	13.295	36.9	0.878256	VDD
i_tv80_core_i_reg_RegsL_reg_1__6_	3.32274e-05	19.881	34.5	0.878626	VDD
i_tv80_core_i_reg_RegsL_reg_7__3_	3.56835e-05	3.749	29.7	0.878746	VDD
i_tv80_core_i_reg_RegsL_reg_6__3_	3.85498e-05	4.267	26.1	0.878991	VDD
i_tv80_core_i_reg_RegsL_reg_5__3_	3.78538e-05	3.527	28.5	0.878755	VDD
i_tv80_core_i_reg_RegsL_reg_4__3_	4.26621e-05	3.601	27.3	0.878231	VDD
i_tv80_core_i_reg_RegsL_reg_3__3_	4.07104e-05	1.825	30.9	0.878602	VDD
i_tv80_core_i_reg_RegsL_reg_2__3_	3.87787e-05	7.301	30.9	0.878487	VDD
i_tv80_core_i_reg_RegsL_reg_1__3_	3.41222e-05	5.451	32.1	0.87874	VDD
i_tv80_core_i_reg_RegsL_reg_0__3_	3.65692e-05	1.677	27.3	0.878471	VDD
i_tv80_core_SP_reg_14_	5.49484e-05	39.565	17.7	0.878261	VDD
i_tv80_core_RegAddrA_r_reg_2_	5.13044e-05	20.214	26.1	0.878592	VDD
i_tv80_core_RegAddrC_reg_2_	6.64991e-05	18.438	27.3	0.877707	VDD
i_tv80_core_RegBusA_r_reg_11_	2.44695e-05	30.389	40.5	0.87859	VDD
i_tv80_core_RegBusA_r_reg_4_	2.74982e-05	22.397	34.5	0.878504	VDD
i_tv80_core_PC_reg_12_	5.63532e-05	46.299	11.7	0.878895	VDD
i_tv80_core_i_reg_RegsL_reg_7__6_	4.01862e-05	20.769	34.5	0.878697	VDD
i_tv80_core_i_reg_RegsL_reg_7__2_	3.64484e-05	5.525	29.7	0.878585	VDD
i_tv80_core_RegBusA_r_reg_2_	2.74592e-05	21.287	30.9	0.878075	VDD
i_tv80_core_SP_reg_10_	5.06284e-05	36.013	22.5	0.878254	VDD
i_tv80_core_SP_reg_12_	5.63976e-05	41.341	20.1	0.878478	VDD
